WindSpeed,Sunshine,AirPressure,Radiation,AirTemperature,RelativeAirHumidity,SystemProduction
0.055045871559633024,0.0,0.4656019656019659,0.0020902090209020917,0.31645569620253167,0.9655172413793105,0.0
0.15596330275229356,0.0,0.46191646191646285,0.0020902090209020917,0.30886075949367087,0.9770114942528736,0.0
0.055045871559633024,0.0,0.46068796068796125,0.0028602860286028615,0.28354430379746837,0.9885057471264369,0.0
0.2201834862385321,0.0,0.45945945945945965,0.002310231023102311,0.2810126582278481,0.9885057471264369,0.0
0.36697247706422015,0.0,0.45700245700245823,0.003300330033003302,0.4050632911392405,0.6206896551724137,0.0
0.12844036697247704,0.0,0.45700245700245823,0.0027502750275027518,0.3518987341772152,0.7011494252873562,0.0
0.12844036697247704,0.0,0.46437346437346605,0.0025302530253025314,0.3240506329113924,0.7586206896551724,0.0
0.11926605504587155,0.0,0.46683046683046747,0.0025302530253025314,0.2911392405063291,0.7816091954022988,0.0
0.055045871559633024,0.0,0.4717444717444721,0.002970297029702972,0.28860759493670884,0.735632183908046,0.0
0.055045871559633024,0.0,0.4778869778869783,0.003080308030803082,0.26329113924050634,0.7816091954022988,0.0
0.03669724770642201,0.0,0.4828009828009847,0.009350935093509352,0.2658227848101266,0.7701149425287357,0.0
0.10091743119266054,0.7666666666666666,0.49017199017199076,0.06490649064906491,0.30886075949367087,0.7011494252873562,215.8333
0.11009174311926605,1.0,0.49385749385749556,0.16281628162816278,0.359493670886076,0.6781609195402298,831.6667
0.03669724770642201,0.9833333333333333,0.49385749385749556,0.14400440044004398,0.38227848101265827,0.6091954022988506,349.5
0.36697247706422015,0.9166666666666666,0.4987714987715002,0.09493949394939494,0.44050632911392407,0.41379310344827586,272.0
0.2477064220183486,0.43333333333333335,0.5122850122850124,0.04664466446644665,0.43544303797468353,0.40229885057471265,130.2083
0.2293577981651376,0.26666666666666666,0.5233415233415233,0.009020902090209022,0.41012658227848103,0.41379310344827586,0.0
0.34862385321100914,0.0,0.5307125307125311,0.0025302530253025314,0.3949367088607595,0.42528735632183906,0.0
0.4311926605504587,0.0,0.541769041769042,0.003300330033003302,0.3949367088607595,0.40229885057471265,0.0
0.38532110091743116,0.0,0.5565110565110576,0.003410341034103412,0.3848101265822785,0.40229885057471265,0.0
0.4403669724770642,0.0,0.56879606879607,0.0036303630363036313,0.3721518987341772,0.39080459770114945,0.0
0.3027522935779816,0.0,0.5749385749385763,0.002970297029702972,0.3518987341772152,0.40229885057471265,0.0
0.36697247706422015,0.0,0.5798525798525809,0.0031903190319031915,0.34177215189873417,0.39080459770114945,0.0
0.2385321100917431,0.0,0.5835380835380839,0.002970297029702972,0.3265822784810127,0.40229885057471265,0.0
0.11009174311926605,0.0,0.5859950859950871,0.0018701870187018722,0.2607594936708861,0.5517241379310345,0.0
0.10091743119266054,0.0,0.5823095823095823,0.0022002200220022014,0.2379746835443038,0.5977011494252873,0.0
0.09174311926605504,0.0,0.5823095823095823,0.002640264026402641,0.23544303797468355,0.6091954022988506,0.0
0.06422018348623852,0.0,0.5835380835380839,0.0027502750275027518,0.22784810126582278,0.6091954022988506,0.0
0.12844036697247704,0.0,0.5810810810810825,0.0020902090209020917,0.22784810126582278,0.5632183908045978,0.0
0.055045871559633024,0.0,0.5810810810810825,0.0025302530253025314,0.22784810126582278,0.5977011494252873,0.0
0.13761467889908255,0.0,0.5761670761670761,0.0035203520352035224,0.26329113924050634,0.5172413793103448,0.0
0.10091743119266054,0.0,0.572481572481573,0.0035203520352035224,0.2379746835443038,0.5862068965517242,0.0
0.03669724770642201,0.0,0.56879606879607,0.003080308030803082,0.23037974683544304,0.6206896551724137,0.0
0.11926605504587155,0.0,0.56879606879607,0.0038503850385038516,0.2379746835443038,0.6206896551724137,0.0
0.03669724770642201,0.11666666666666667,0.5700245700245699,0.01727172717271727,0.2379746835443038,0.632183908045977,0.0
0.09174311926605504,0.15,0.5700245700245699,0.05434543454345435,0.2556962025316456,0.6206896551724137,248.6667
0.09174311926605504,1.0,0.5675675675675684,0.08866886688668867,0.28860759493670884,0.5287356321839081,1087.3334
0.13761467889908255,1.0,0.5651105651105652,0.11749174917491749,0.32911392405063294,0.44827586206896547,723.0
0.10091743119266054,1.0,0.5626535626535638,0.09823982398239824,0.31898734177215193,0.43678160919540227,131.0
0.14678899082568805,1.0,0.5638820638820636,0.05093509350935094,0.30886075949367087,0.42528735632183906,51.0
0.20183486238532108,0.2833333333333333,0.5651105651105652,0.011001100110011002,0.28860759493670884,0.43678160919540227,0.0
0.12844036697247704,0.0,0.5663390663390668,0.0035203520352035224,0.27341772151898736,0.471264367816092,0.0
0.06422018348623852,0.0,0.56879606879607,0.002640264026402641,0.2227848101265823,0.6091954022988506,0.0
0.13761467889908255,0.0,0.5614250614250622,0.0027502750275027518,0.20253164556962025,0.6436781609195403,0.0
0.11926605504587155,0.0,0.5614250614250622,0.0025302530253025314,0.20253164556962025,0.6551724137931034,0.0
0.12844036697247704,0.0,0.5601965601965606,0.002640264026402641,0.18227848101265823,0.7011494252873562,0.0
0.055045871559633024,0.0,0.5565110565110576,0.002970297029702972,0.179746835443038,0.7241379310344829,0.0
0.06422018348623852,0.0,0.5528255528255528,0.0035203520352035224,0.19240506329113927,0.7241379310344829,0.0
0.11926605504587155,0.0,0.5405405405405403,0.0036303630363036313,0.20759493670886076,0.7241379310344829,0.0
0.17431192660550457,0.0,0.5307125307125311,0.0036303630363036313,0.21518987341772153,0.7586206896551724,0.0
